session_id,timestamp,image_filename,steering_angle,speed_kmh,brake,autonomous_mode,line_detected,gps_x,gps_y,lidar_obstacle_detected,lidar_obstacle_distance,evasion_phase,obstacle_type
20260612_000237,2026-06-12T07:02:37.489,frame_000001.jpg,0.0000,18.59,0.4823,0,0,-45.580,48.056,1,23.55,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:02:38.003,frame_000002.jpg,0.0000,22.67,0.4823,0,1,-47.212,48.075,0,,0,
20260612_000237,2026-06-12T07:02:38.518,frame_000003.jpg,0.0000,25.18,0.4823,0,1,-49.200,48.095,0,,0,
20260612_000237,2026-06-12T07:02:39.019,frame_000004.jpg,0.0000,29.88,0.4823,0,1,-51.806,48.122,0,,0,
20260612_000237,2026-06-12T07:02:39.531,frame_000005.jpg,0.0000,33.96,0.4823,0,0,-54.995,48.154,0,,0,
20260612_000237,2026-06-12T07:02:40.038,frame_000006.jpg,0.0000,36.16,0.4823,0,1,-58.314,48.189,0,,0,
20260612_000237,2026-06-12T07:02:40.545,frame_000007.jpg,0.0000,36.47,0.4823,0,1,-61.654,48.225,0,,0,
20260612_000237,2026-06-12T07:02:41.053,frame_000008.jpg,-0.1126,37.10,0.4823,0,1,-65.086,48.187,1,12.15,0,OBSTACLE
20260612_000237,2026-06-12T07:02:41.564,frame_000009.jpg,-0.0851,37.10,0.4823,0,1,-68.681,47.738,0,,0,
20260612_000237,2026-06-12T07:02:42.075,frame_000010.jpg,0.0000,37.10,0.4823,0,1,-72.251,46.869,0,,0,
20260612_000237,2026-06-12T07:02:42.585,frame_000011.jpg,-0.0906,36.78,0.4823,0,1,-75.661,45.927,0,,0,
20260612_000237,2026-06-12T07:02:43.094,frame_000012.jpg,-0.1016,36.47,0.4823,0,1,-78.519,44.956,1,17.76,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:02:43.602,frame_000013.jpg,0.0000,36.16,0.4823,0,1,-81.922,43.438,0,,0,
20260612_000237,2026-06-12T07:02:44.114,frame_000014.jpg,-0.0796,35.84,0.4823,0,1,-85.584,41.618,1,16.70,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:02:44.621,frame_000015.jpg,-0.0796,36.16,0.4823,0,1,-88.843,39.594,0,,0,
20260612_000237,2026-06-12T07:02:45.126,frame_000016.jpg,-0.0851,35.84,0.4823,0,1,-91.603,37.492,1,23.57,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:02:45.636,frame_000017.jpg,-0.0796,36.16,0.4823,0,1,-94.158,35.144,1,17.81,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:02:46.150,frame_000018.jpg,-0.0796,35.53,0.4823,0,1,-96.362,32.728,0,,0,
20260612_000237,2026-06-12T07:02:46.651,frame_000019.jpg,0.0000,35.53,0.4823,0,1,-98.410,30.061,0,,0,
20260612_000237,2026-06-12T07:02:47.151,frame_000020.jpg,-0.0796,35.84,0.4823,0,1,-100.546,27.074,0,,0,
20260612_000237,2026-06-12T07:02:47.656,frame_000021.jpg,-0.0796,35.53,0.4823,0,1,-102.316,24.216,0,,0,
20260612_000237,2026-06-12T07:02:48.164,frame_000022.jpg,-0.0796,36.16,0.4823,0,0,-103.794,21.297,0,,0,
20260612_000237,2026-06-12T07:02:48.673,frame_000023.jpg,-0.0796,35.84,0.4823,0,1,-105.120,17.977,0,,0,
